Membership No  Date Joined  Active  
    75610      2020-4-13    no    
    69370      2018-5-2     no    
    18646      2018-4-17    yes   
    71761      2017-9-4     no    
    14495      2017-1-1     yes   
    67073      2016-12-17   yes   
    35843      2017-3-1     yes   
    41744      2015-4-22    no    
    99709      2018-5-17    no    
    79982      2016-2-20    yes   
    87989      2020-1-1     no    
    87944      2016-9-20    no    
    11025      2017-1-7     yes   
    67536      2018-11-22   yes   
    87809      2016-4-18    yes   
    39100      2016-10-19   yes   
    36446      2020-12-1    yes   
    85008      2015-11-25   no    
    68980      2016-1-15    no    
    32883      2016-1-13    no    
